HF,Website,List
M Square Investimentos,http://www.msquare.com/,top-250-largest-hedge-funds
Alcentra,https://www.alcentra.com/,top-250-largest-hedge-funds
Oxford Asset Management,https://www.oxam.com/,top-250-largest-hedge-funds
Beach Point Capital Management,https://beachpoint.capital/,top-250-largest-hedge-funds
Algebris Investments,https://www.algebris.com/,top-250-largest-hedge-funds
Trian Fund Management LP,https://trianpartners.com/about/,top-250-largest-hedge-funds
Paulson & Co.,https://paulsontsq.com/,top-250-largest-hedge-funds
Blue Ridge Capital,http://www.blueridgecapital.com/,top-250-largest-hedge-funds
Silver Point Capital,https://www.silverpointcapital.com/,top-250-largest-hedge-funds
Arrowstreet Capital,https://www.arrowstreetcapital.com/,top-250-largest-hedge-funds
Polar Capital Partners,http://www.polarcapitalpartners.com/,top-250-largest-hedge-funds
Benefit Street Partners,https://benefitstreetpartners.com/,top-250-largest-hedge-funds
Metacapital Management LP,http://metacapital.com/,top-250-largest-hedge-funds
HSBC Alternative Investments,https://www.privatebanking.hsbc.com/investment-services/alternative-investments/,top-250-largest-hedge-funds
Nephila Capital,https://www.nephila.com/main,top-250-largest-hedge-funds
Scopia Capital,http://www.scopia.com/cgi-bin/index.pl,top-250-largest-hedge-funds
Lindsell Train Limited,https://www.lindselltrain.com/,top-250-largest-hedge-funds
Eton Park Capital Management,https://wowgoldone.com/eton-park-capital-management/,top-250-largest-hedge-funds
Horsley Bridge Partners,https://www.horsleybridge.com/,top-250-largest-hedge-funds
LaSalle Investment Management,https://www.lasalle.com/,top-250-largest-hedge-funds
Lyxor Asset Management,https://www.lyxor.com/en/,top-250-largest-hedge-funds
RWC Partners,https://www.rwcpartners.com/uk/en/individual/,top-250-largest-hedge-funds
MJX Asset Management,https://www.mjxam.com/,top-250-largest-hedge-funds
Eminence Capital,https://www.eminencecapital.com/,top-250-largest-hedge-funds
CQS Investment Management Limited,https://www.cqs.com/,top-250-largest-hedge-funds
Wafra Investment Group,https://www.wafra.com/,top-250-largest-hedge-funds
Commonfund Capital,https://www.commonfund.org/,top-250-largest-hedge-funds
Marshall Wace,https://www.mwam.com/,top-250-largest-hedge-funds
Pacific Alternative Asset Management,https://www.alternativef.com/pacific-alternative-asset-management,top-250-largest-hedge-funds
K2 Advisors,https://www.k2advisors.com/,top-250-largest-hedge-funds
PDT Partners,https://www.pdtpartners.com/,top-250-largest-hedge-funds
ArcLight Capital Partners,https://www.arclight.com/,top-250-largest-hedge-funds
Aviva Investors,https://www.avivainvestors.com/,top-250-largest-hedge-funds
Abrams Capital,https://www.abramscapital.com/,top-250-largest-hedge-funds
Ellington Management Group,https://www.ellington.com/,top-250-largest-hedge-funds
Kensico Capital Management,https://www.kensicocapital.com/,top-250-largest-hedge-funds
Highbridge Capital Management,https://www.highbridge.com/,top-250-largest-hedge-funds
Whitebox Advisors,https://whiteboxadvisors.com/,top-250-largest-hedge-funds
Graticule Asset Management Asia,https://www.gama.com/home,top-250-largest-hedge-funds
Steadfast Financial LP,https://www.steadfast.com/,top-250-largest-hedge-funds
Natixis Alternative Investments,https://www.im.natixis.com/us/understanding-opportunities-in-alternatives,top-250-largest-hedge-funds
Greenlight Capital,https://www.greenlightcapital.com/,top-250-largest-hedge-funds
Catterton Partners,https://www.lcatterton.com/,top-250-largest-hedge-funds
Prisma Capital Partners,https://www.prisma.capital/,top-250-largest-hedge-funds
GSA Capital,https://www.gsacapital.com/,top-250-largest-hedge-funds
Rockpoint Group,https://rockpointgroup.com/,top-250-largest-hedge-funds
Jana Partners,https://www.janapartners.com/,top-250-largest-hedge-funds
Panagora,https://www.panagora.com/,top-250-largest-hedge-funds
Crestline Management,https://crestlineinvestors.com/,top-250-largest-hedge-funds
Alder Capital,https://aldercapital.in/,top-250-largest-hedge-funds
Parallax Fund,https://www.parallaxfund.com/,top-250-largest-hedge-funds
EJF Asset Management,https://www.ejfcap.com/,top-250-largest-hedge-funds
Systematica Investments,https://www.systematica.com/,top-250-largest-hedge-funds
GMT Capital,https://gmtcapital.com/,top-250-largest-hedge-funds
Solus Alternative Asset Management,https://www.soluslp.com/global/default.aspx,top-250-largest-hedge-funds
Taconic Capital Advisors,http://www.taconiccap.com/,top-250-largest-hedge-funds
Onex Credit Partners,https://www.onex.com/credit/overview,top-250-largest-hedge-funds
Oak Hill Advisors,https://www.oakhilladvisors.com/,top-250-largest-hedge-funds
Rimrock Capital Management,https://www.rimrockcapital.com/,top-250-largest-hedge-funds
MSD Capital,https://www.msdcapital.com/,top-250-largest-hedge-funds
Corvex Management,https://www.investopedia.com/articles/markets/021416/corvex-management-activist-investor-analysis.asp,top-250-largest-hedge-funds
Structured Portfolio Management,https://privatefunddata.com/fund-companies/structured-portfolio-management-llc/,top-250-largest-hedge-funds
Samlyn Capital,https://www.samlyncapital.com/,top-250-largest-hedge-funds
Altrinsic Global Advisors,https://altrinsic.com/,top-250-largest-hedge-funds
The Children's Investment Fund Foundation,https://ciff.org/,top-250-largest-hedge-funds
Odey Asset Management,https://www.odey.com/,top-250-largest-hedge-funds
Coast Asset Management,http://www.coastasset.com/,top-250-largest-hedge-funds
Redwood Capital Management,http://redwoodcap.com/,top-250-largest-hedge-funds
JP Morgan Alternative Investments,https://privatebank.jpmorgan.com/gl/en/services/investing/alternative-investments,top-250-largest-hedge-funds
Rockwood Capital,https://www.rockwoodcap.com/,top-250-largest-hedge-funds
Luminus Management,http://www.luminusmgmt.com/,top-250-largest-hedge-funds
The Carlyle Group,https://www.carlyle.com/,top-250-largest-hedge-funds
Strategic Value Partners,https://www.svpglobal.com/,top-250-largest-hedge-funds
Amundi Alternative Investments,https://www.amundi.com/int/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyMarketingDocRequest&routeId=_download_geds_wam_lists_Documents_documents_323,top-250-largest-hedge-funds
Indus Capital Partners,https://www.induscap.com/,top-250-largest-hedge-funds
Alphadyne Asset Management,http://adyne.com/,top-250-largest-hedge-funds
Capital Fund Management,https://www.cfm.fr/who-we-are/,top-250-largest-hedge-funds
Magnitude Capital,https://magnitudecapital.com/firm,top-250-largest-hedge-funds
Wolverine Asset Management,https://www.wolvefunds.com/,top-250-largest-hedge-funds
Paskewitz Asset Management,http://www.altavra.com/managedfutures/develop/advisors/paskewitzasset.htm,top-250-largest-hedge-funds
Tennenbaum Capital Partners,https://www.crunchbase.com/organization/tennenbaum-capital-partners,top-250-largest-hedge-funds
Pentwater Capital Management,https://pwcm.com/,top-250-largest-hedge-funds
Investec Asset Management,https://www.investec.com/content/dam/investor-relations/capital-markets-day/CMD-Presentation-3-dec-2019-final.pdf,top-250-largest-hedge-funds
Cyrus Capital Partners,http://www.cyruscapital.com/,top-250-largest-hedge-funds
Omega Advisors,https://www.omegaadvisers.com/,top-250-largest-hedge-funds
Gramercy,https://www.gramercy.com/,top-250-largest-hedge-funds
Reservoir Capital Group,http://reservoircap.com/,top-250-largest-hedge-funds
Haidar Capital Management,https://www.haidarcapital.com/,top-250-largest-hedge-funds
Water Street Capital Inc.,http://www.wscapital.com/,top-250-largest-hedge-funds
Convexity Capital Management,https://www.convexity-capital.com/,top-250-largest-hedge-funds
Autonomy Capital,https://autonomycapital.com/,top-250-largest-hedge-funds
Partner Fund Management,http://hedgefundhub.com/partner-fund-management/,top-250-largest-hedge-funds
Finisterre Capital,https://finisterrecapital.com/,top-250-largest-hedge-funds
Axonic Capital LLC,https://www.axoniccap.com/,top-250-largest-hedge-funds
Monarch Alternative Capital,http://monarchlp.com/,top-250-largest-hedge-funds
Highclere International Investors,https://highclereinvestors.com/,top-250-largest-hedge-funds
Lakewood Capital Management,https://www.lakewoodcap.com/,top-250-largest-hedge-funds
Barings,https://www.barings.com/,top-250-largest-hedge-funds
Empyrean Capital Partners,https://empyrean.com/,top-250-largest-hedge-funds
Grove Street Advisors,https://www.grovestreet.com/,top-250-largest-hedge-funds
Ashmore Investment Management,https://www.ashmoregroup.com/en-gb,top-250-largest-hedge-funds
Luxor Capital Group,http://www.luxorcap.com/,top-250-largest-hedge-funds
DW Partners,https://dwpartners.com/,top-250-largest-hedge-funds
Cantab Capital Partners,https://www.crunchbase.com/organization/cantab-capital-partners,top-250-largest-hedge-funds
Entrust Permal,https://www.entrustglobal.com/,top-250-largest-hedge-funds
Stevens Capital Management,https://www.scm-lp.com/,top-250-largest-hedge-funds
Alkeon Capital Management,https://www.alkeoncapital.com/,top-250-largest-hedge-funds
Evanston Capital Management,https://www.evanstoncap.com/,top-250-largest-hedge-funds
Highline Capital Management,https://www.highlinecap.com/,top-250-largest-hedge-funds
Value Partners,https://www.valuepartners-group.com/,top-250-largest-hedge-funds
Overlook Investments Group,https://www.finnotes.org/entities/overlook-investments-group,top-250-largest-hedge-funds
Brahman Capital,https://brahman.com/,top-250-largest-hedge-funds
Aristeia Capital,https://www.aristeiacapital.com/,top-250-largest-hedge-funds
Harbert Management Corporation,https://www.harbert.net/,top-250-largest-hedge-funds
Contrarian Capital Management,http://www.contrariancapital.com/,top-250-largest-hedge-funds
Wayzata Investment Partners,https://www.crunchbase.com/organization/wayzata-investment-partners,top-250-largest-hedge-funds
Passport Capital,https://www.passportcapital.com/,top-250-largest-hedge-funds
Aurelius Capital Management,https://www.aurelius-capital.com/,top-250-largest-hedge-funds
Ascend Capital,https://www.ascend-cp.com/,top-250-largest-hedge-funds
Aquila Capital,https://www.aquila-capital.de/en/,top-250-largest-hedge-funds
Hitchwood Capital Management,https://hitchwood.com/index.html,top-250-largest-hedge-funds
BTG Pactual,https://www.btgpactual.com/,top-250-largest-hedge-funds
Sprott Asset Management,https://sprott.com/,top-250-largest-hedge-funds
Mason Capital Management LLC,https://www.masoncapinflation.com/,top-250-largest-hedge-funds
Symmetry Investments,https://symmetryinvestments.com/,top-250-largest-hedge-funds
Credit Suisse Alternatives,https://www.credit-suisse.com/articles/private-banking/2020/01/en/fuer-stabilitaet-im-portfolio-sorgen-mit-alternativen-anlagen.html,top-250-largest-hedge-funds
ECM,https://ecm-pe.de/en/,top-250-largest-hedge-funds
Criterion Capital Management,https://www.criterioncapital.co.uk/,top-250-largest-hedge-funds
Hoplite Capital Management,https://www.hoplitecapital.com/,top-250-largest-hedge-funds
LibreMax Capital,https://www.libremax.com/,top-250-largest-hedge-funds
Aetos Capital,https://www.aetoscapital.com/,top-250-largest-hedge-funds
HighVista Strategies,https://www.highvistastrategies.com/,top-250-largest-hedge-funds
Oceanwood Capital Management,https://oceanwood.com/,top-250-largest-hedge-funds
Prime Capital Management,https://privatefunddata.com/fund-companies/prime-capital-management-company-limited/,top-250-largest-hedge-funds
Knighthead Capital Management LLC,https://www.knighthead.com/,top-250-largest-hedge-funds
Czech Asset Management LP,https://www.czechamlp.com/,top-250-largest-hedge-funds
Kingdon Capital,https://www.kingdomcapital.com/,top-250-largest-hedge-funds
CSOP Asset Management,http://www.csopasset.com/en/home/,top-250-largest-hedge-funds
Providence Investment Management,https://www.providenceinvestments.com/management/,top-250-largest-hedge-funds
Cadian Capital,https://www.cadiancap.com/,top-250-largest-hedge-funds
Kepos Capital LP,https://www.keposcapital.com/,top-250-largest-hedge-funds
Guggenheim Capital Markets,https://www.guggenheimpartners.com/services/securities,top-250-largest-hedge-funds
Metalmark Capital,http://www.metalmarkcapital.com/,top-250-largest-hedge-funds
Altimeter Capital,https://www.altimeter.com/Home,top-250-largest-hedge-funds
AlphaCat Managers,https://www.artemis.bm/ils-fund-managers/alphacat-managers/,top-250-largest-hedge-funds
Almanac Realty Investors LLC,https://www.almanacrealty.com/,top-250-largest-hedge-funds
Gates Capital Management,https://www.gatescap.com/cgi-bin/index.pl,top-250-largest-hedge-funds
57 Stars,https://www.57stars.com/,top-250-largest-hedge-funds
Astenbeck Capital Management,http://www.astenbeck.com/,top-250-largest-hedge-funds
Apollo Capital,https://www.apollocap.io/,top-250-largest-hedge-funds
Cohen & Company,https://cohenandcompany.com/,top-250-largest-hedge-funds
ABC Arbitrage Asset Management,https://am.abc-arbitrage.com/,top-250-largest-hedge-funds
Citadel Investment Group,https://citadelinvestmentgroup.ca/,top-100-largest-us-hedge-funds
Och-Ziff Capital Management,https://www.sculptor.com/,top-100-largest-us-hedge-funds
BlackRock Alternative Advisors,https://www.blackrock.com/institutions/en-us/strategies/alternatives/hedge-fund-solutions,top-100-largest-us-hedge-funds
Anchorage Capital Group,https://anchoragecap.com/leadership.html,top-100-largest-us-hedge-funds
Grantham Mayo Van Otterloo & Co.,https://www.gmo.com/,top-100-largest-us-hedge-funds
Soroban Capital Partners,https://sorobancap.com/,top-100-largest-us-hedge-funds
Edgbaston Investment Partners,http://www.edgbastonip.com/,top-50-largest-hedge-funds-in-europe
Twelve Capital AG,https://www.twelvecapital.com/,top-50-largest-hedge-funds-in-europe
Lombard Odier Darier Hentsch & Cie,https://www.lombardodier.com/,top-50-largest-hedge-funds-in-europe
CapeView Capital LLP,https://www.capeviewcapital.com/,top-50-largest-hedge-funds-in-europe
Investcorp,https://www.investcorp.com/,top-50-largest-hedge-funds-in-europe
Brevan Howard Asset Management,https://www.brevanhoward.com/,top-50-largest-hedge-funds-in-europe
Toscafund Asset Management,https://www.toscafund.com/,top-50-largest-hedge-funds-in-europe
Beach Horizon,https://www.beachhorizon.com/,top-50-largest-hedge-funds-in-europe
Altima Partners,http://www.altimapartners.com/contact,top-50-largest-hedge-funds-in-europe
Edesia Asset Management,https://wallmine.com/adviser/241474/edesia-asset-management-b-v,top-50-largest-hedge-funds-in-europe
Arrowgrass Capital Partners,http://www.arrowgrass.com/,top-50-largest-hedge-funds-in-the-uk
Edgbaston Investment Partners,https://www.edgbastonip.com/,top-50-largest-hedge-funds-in-the-uk
Consulta Limited,https://find-and-update.company-information.service.gov.uk/company/02203991,top-50-largest-hedge-funds-in-the-uk
Henderson Global Investors,https://find-and-update.company-information.service.gov.uk/company/00906355,top-50-largest-hedge-funds-in-the-uk
36 South Capital Advisors,http://36south.com/,top-50-largest-hedge-funds-in-the-uk
Man Group,https://www.man.com/,top-50-largest-hedge-funds-in-the-uk
Lansdowne Partners,https://www.lansdownepartners.com/,top-50-largest-hedge-funds-in-the-uk
Insight Investment,https://www.insightinvestment.com/,top-50-largest-hedge-funds-in-the-uk
Sumitomo Mitsui Asset Management Company,https://www.smd-am.co.jp/english/,top-50-largest-hedge-funds-in-the-uk
Cape Ann Asset Management,https://www.capeannam.com/,top-50-largest-hedge-funds-in-the-uk
Daiwa Asset Management,https://www.daiwa-am.co.jp/english/,top-50-largest-hedge-funds-in-the-uk
Blackfriars Asset Management,http://www.blackfriarsam.com/,top-50-largest-hedge-funds-in-the-uk
Laxey Partners,https://laxeypartners.com/,top-50-largest-hedge-funds-in-the-uk
Currency Insight,https://www.insightinvestment.com/continental-europe-and-ireland/ire/institutional-investors/our-investment-range/absolute-return-strategy-range/absolute-insight-currency/,top-50-largest-hedge-funds-in-the-uk
Eastspring Investments,https://www.eastspring.com/,top-25-largest-hedge-funds-in-asia
BlueBay Asset Management,https://www.bluebay.com/en/institutional/,top-25-largest-hedge-funds-in-asia
TPG Capital,https://www.tpg.com/,top-25-largest-hedge-funds-in-asia
Man Investments,https://www.man.com/,top-25-largest-hedge-funds-in-asia
Colchester Global Investors,https://colchesterglobal.com/,top-25-largest-hedge-funds-in-asia
Gartmore Investment Management,https://hf.com/portfolio/gartmore-investment-mgmt-limited/,top-25-largest-hedge-funds-in-asia
AEW Capital Management,https://www.aew.com/,top-25-largest-hedge-funds-in-asia
EARNEST Partners,https://www.earnestpartners.com/,top-25-largest-hedge-funds-in-asia
GAMCO Asset Management Singapore,https://www.gabelli.com/,top-25-largest-hedge-funds-in-asia
Aviva Fund Services,https://www.avivainvestors.com/en-gb/capabilities/fund-centre/,top-25-largest-hedge-funds-in-asia
PAM Universal Funds,http://www.pam-universal.com/e_page1.jsp,top-25-largest-hedge-funds-in-asia
First State Investments,https://dgf.firststate.co.uk/about-us,top-25-largest-hedge-funds-in-asia
Pharo Management HK,https://www.pharo.com/contact-us/,top-25-largest-hedge-funds-in-asia
Hua An Fund Management Company,https://www.huaan.com.cn/English/index.html,top-25-largest-hedge-funds-in-asia
Nezu Asia Capital Management,https://www.nezuasia.com/privacy_policy,top-20-largest-hedge-funds-in-hong-kong
Schroders Investment Management,https://www.schroders.com/,top-20-largest-hedge-funds-in-hong-kong
CQS Hong Kong,https://www.cqs.com/,top-20-largest-hedge-funds-in-hong-kong
Morgan Creek Capital,https://www.morgancreekcap.com/,top-20-largest-hedge-funds-in-hong-kong
Pictet (Asia) Limited,https://asia.group.pictet/bank-pictet-cie-asia-ltd,top-20-largest-hedge-funds-in-hong-kong
