Firm;Link;Description
First New York;http://www.firstny.com/;First New York First New York is a multi-strategy investment firm. Since its inception in 1986, First New York has been a preferred destination for portfolio managers seeking to partner in an opportunistic environment with a history of success. (New York, London)
Flow Traders;https://www.flowtraders.com/;Flow Traders A leading global technology-enabled liquidity provider specialised in Exchange Traded Products (ETPs).
Gelber Group ;https://www.gelbergroup.com/;Gelber Group  – Gelber is a unique service provider for the individual professional trader, professional trading group, or institution. We have an unwavering focus on technology management and service, as we seek to expand our access to liquid electronic markets around the world. Gelber Group maintains the philosophy that clear communication and interaction bring successful trading results. (Chicago, Cranford NJ, Greenwich CT, San Diego, London, Schindellegi Switzerland)
Geneva Trading;https://www.geneva-trading.com/;Geneva Trading – Geneva Trading is a proprietary electronic trading firm located in Chicago, Illinois USA and Dublin, Ireland. Focus is on electronically traded futures and equity markets in the USA and Europe. (Chicago, Dublin)
GH Financials;https://www.ghfinancials.com/;GH Financials G. H. Financials is a premium choice provider of bespoke global clearing solutions for exchange traded futures and options contracts to the world’s leading derivatives markets. (Chicago, London, Hong Kong)
Grace Hall Trading;https://www.gracehall.com;Grace Hall Trading Grace Hall Trading is a proprietary trading firm specializing in transactional arbitrage, volatility arbitrage, and event driven trading.  Based in Chicago and established in 2008 the firm utilizes cutting edge technology as it trades futures, equities, and equity options.
Great Point Capital;https://greatpointcapital.com/;Great Point Capital Great Point Capital is a FINRA registered trading firm, headquartered in Chicago.
Group One Trading;http://www.group1.com/;Group One Trading – Group One is one of the largest proprietary options trading firms in the country. (New York, Philadelphia, Chicago, San Francisco)
Hard Eight Trading;https://www.hard8trading.com/;Hard Eight Trading Hard Eight Futures, LLC and Hard Eight Trading, LLC are proprietary trading firms headquartered in Chicago, Illinois. (Chicago)
Hold Brothers;http://www.hold.com/;Hold Brothers – Proprietary Online Stock Trading.
Hudson River Trading;http://www.hudson-trading.com;Hudson River Trading Hudson River Trading brings a scientific approach to trading financial products. We have built one of the world’s most sophisticated computing environments for research and development. (New York, Chicago, London, Shanghai, Singapore, Dublin, Austin)
IMC Financial Markets;https://www.imc.com/;IMC Financial Markets – The IMC Group is a global financial organization with a presence in Amsterdam, London, New York, Chicago, Hong Kong, Sydney, and Zug.
Integra Capital;https://www.integratrade.com/;Integra Capital Integra Capital is a New York based proprietary trading firm and a division of T3 Trading Group. Integra is home to in-house and remote traders around the country. They provide capital leverage, professional trading platforms, and exceptional concierge service & support to active equities, options, and forex traders.
Jane Street;https://www.janestreet.com/;Jane Street Jane Street is a quantitative trading firm with a unique focus on technology and collaborative problem solving. (New York, Chicago, London, and Tokyo)
Jump Trading ;https://www.jumptrading.com/;Jump Trading  – Jump Trading, LLC is a proprietary trading firm, focused on trading index futures, options, and equities. Because we are not a brokerage firm, we do not have clients. Revenues come solely from trading Jump’s proprietary account. Jump Trading is a member of the Chicago Mercantile Exchange (CME), the Chicago Board of Trade (CBOT), the Chicago Board Options Exchange (CBOE), and the American Stock Exchange (AMEX). Jump is also a non-clearing member of the European Exchange (Eurex). (Chicago, London, Singapore)
Kershner Trading Group ;https://www.kershnertrading.com/;Kershner Trading Group  – Since 1993, Kershner Trading has been built on the idea of shared success. We are a classic proprietary trading business providing full service, support and capital to our traders, including state-of-the-art proprietary technology applications with direct access to US markets. Our traders currently trade in our Austin, Tx office, however we are always interested in hearing from groups of successful traders in other locations. Member NASD, SEC registered.
League Trading;https://www.theleaguecorp.com;League Trading Originally concentrating on agricultural products and the newly emerging options trade, League Trading is now dedicated to developing proprietary relationships with both experienced and novice traders in options and futures. (Chicago)
Mako Group;https://www.makoglobal.com/;Mako Group Mako Group is a global diversified financial company comprising sales, trading and investment management.
Marex Spectron;https://www.marex.com/;Marex Spectron Providing liquidity, market access and infrastructure services to clients in the energy, commodities and financial markets. (London)
Optiver;https://www.optiver.com/;Optiver – Optiver is an international proprietary trading house dealing mainly in derivatives, shares and bonds. The firm has expanded from a few Amsterdam based market makers to a global arbitrage group with subsidiaries in Chicago and Sydney.
OSTC Ltd.;https://www.ostc.com/;OSTC Ltd. OSTC is a global derivatives trading company creating outstanding performers in financial markets, by developing and supporting their knowledge and experience. (London) 
Peak6 Trading;https://www.peak6.com/;Peak6 Trading – One of the largest equity options market-making firms in the U.S. (Chicago, San Francisco, Seattle, New York)
Positive Equity Limited;https://www.positive.ie/;Positive Equity Limited Positive Equity was founded in 2008 and focuses on discipline, hard work and innovation in strategies and products for success. We trade futures and equities. We hire both experienced traders and trainees who are prepared to work hard for long-term success.
Prime Trading, LLC;https://www.prime-trading.com;Prime Trading, LLC Prime Trading, LLC is geared to the serious trading professional who is eager to take their craft to the next level. We are a Chicago-based proprietary trading firm with global ties to Europe, Asia, and South America, assuring that our traders have a solid international base for maximum earnings potential.
Savius, LLC;https://www.saviusllc.com/;Savius, LLC Savius, LLC is a boutique proprietary trading firm with headquarters in Chicago and traders in the US and Europe.
Seven Points Capital;https://www.sevenpointscapital.com;Seven Points Capital Seven Points Capital established trading floors in 4 cities across the US and our first international office in Toronto, Canada. (New York, New Jersey, Florida, California, Toronto)
SMB Capital;http://smbcap.com/;SMB Capital – SMB Capital, LLC is a privately owned investment partnership engaged in day trading NYSE and NASDAQ equities.
Schonfeld Group;https://www.schonfeld.com/;Schonfeld Group Schonfeld Securities, LLC pioneered the short term trading industry when it began operations in 1988. It is one of the largest U.S. proprietary equity trading firms in terms of number of traders and volume traded on the NYSE and NASDAQ.
Simplex;https://simplextrading.com/;Simplex – Founded in Chicago in 2004, Simplex is a leading, technology-driven, proprietary trading firm.
Susquehanna International Group (SIG);https://www.sig.com/;Susquehanna International Group (SIG) Susquehanna International Group is global quantitative trading firm that has built virtually all of their own trading technology from scratch. SIG’s traders compete in the financial markets by leveraging their quantitative skills to take calculated risks with SIG’s proprietary capital. They have a best-in-class trader development program. The firm’s success lies at the intersection of trading, quantitative, and technology.
Tibra Capital;https://www.tibra.com.au/;Tibra Capital A global prop firm specialising in market making and arbitrage. (Chicago, London, Amsterdam, Hong Kong, Sydney, Wollongong)
TopstepTrader;https://www.topsteptrader.com/;TopstepTrader TopstepTrader invites you to experience the power of our trading Combine. We are financially backing consistent, profitable, and disciplined futures traders.
Tower Research Capital;https://www.tower-research.com;Tower Research Capital Founded in 1998 by Mark Gorton, Tower Research Capital is a trading and technology company that has built some of the fastest, most sophisticated electronic trading platforms in the world. (Chicago, London, New York, Charleston, Singapore, Hong Kong)
TradeLink;http://www.tradelinkllc.com/;TradeLink TradeLink Holdings LLC (“TradeLink”) is a diversified alternative investment and proprietary trading firm founded in 1979 by Walt Weissman. The firm is engaged in securities, futures, options and commodities trading. TradeLink’s focus is the design and implementation of quantitative models that draw on the firm’s considerable expertise in trading, research, and technology. (Chicago, London)
Trade Vision Capital;https://www.tradevisioncapital.com/;Trade Vision Capital Trade Vision Capital provides its customers with the highest end order entry software available. It is the only software to receive the NASD’s platinum certification.
Transmarket Group;https://www.transmarketgroup.com/;Transmarket Group TransMarket Group LLC is a global private trading and investment company. Provide risk capital and market access to individuals for the purpose of trading the global financial markets. Employees trade all global exchange listed derivatives, equities, commodities and selected cash markets. (London, Madrid, Mumbai, New York, Singapore, Sydney)
Trillium Trading;https://www.trilliumtrading.com/;Trillium Trading Trillium Trading L.L.C. is a premier proprietary trading firm that excels in short term equity trading, and portfolio management. (New York, Edison NJ, Princeton NJ, Miami FL)
TTG Capital Limited;https://www.ttg-capital.com/;TTG Capital Limited Trading Exchange Traded Derivatives. Proprietary Trading. Liquidity Provision. Market Making. Direct Electronic Access. Algorithmic Trading. (London)
Tyler Capital;https://www.tylercapital.co.uk/;Tyler Capital Tyler Capital is a proprietary trader of global financial markets. ​ Our vision is to be a pioneer in systematic trading, creating new ways to trade any market, anywhere. (London)
VIRTU Financial;https://www.virtu.com/;VIRTU Financial As a leading provider of financial services and products, we leverage cutting-edge technology to deliver liquidity to the global markets and innovative, transparent trading solutions to our clients. (Chicago, London, Madrid, Mumbai, New York, Singapore, Sydney)
WH Trading;https://www.whtrading.com/;WH Trading WH Trading LLC is a proprietary futures, options and equities trading firm headquartered in Chicago, IL. Founded in 1994, WH Trading currently serves as a primary liquidity provider on the floor of the major Chicago futures exchanges and also as an exchange designated Lead Market Maker for electronically traded products in a variety of asset classes. (Chicago, London)
Wolverine Trading;https://www.wolve.com/;Wolverine Trading Wolverine is headquartered in Chicago and has offices in New York, San Francisco, Philadelphia and London.
XR Trading;http://www.xrtrading.com/;XR Trading XR Trading is a proprietary trading firm. We design and build cutting-edge technology and serve as a leader in the global derivatives marketplace. We employ a team-based approach and leverage our technology and core competencies across a wide array of asset classes.
XY Capital;https://www.xycapitalgroup.com/;XY Capital  A quantitative and systematic trading firm that employs a rigorous mathematical approach to pricing securities and constructing portfolios across multiple asset classes globally.
